site,site_sys,sys_trt,cc_trt,blockID,rep,NMDS1,NMDS2
<<<<<<< HEAD
Boyd,Boyd_grain,grain,no,B42,1,-0.1812811770969616,0.24168655336421924
Boyd,Boyd_grain,grain,no,B42,2,1.2263114571656,-1.0673527997420023
Boyd,Boyd_grain,grain,no,B42,3,0.9284507735198159,0.24700870738297853
Boyd,Boyd_grain,grain,no,B42,4,1.3168037091975489,0.0038953419399740583
Boyd,Boyd_grain,grain,no,B42,5,0.7611527191115491,-0.09861537431048814
Boyd,Boyd_grain,grain,no,B44,1,-0.029493250284866043,-0.25312367229608296
Boyd,Boyd_grain,grain,no,B44,2,0.12704032877883412,-0.35493311269180994
Boyd,Boyd_grain,grain,no,B44,3,0.5692273706132572,-0.867903550899943
Boyd,Boyd_grain,grain,no,B44,4,0.13428285778087018,0.16007561019177907
Boyd,Boyd_grain,grain,no,B44,5,1.417237968299681,0.7491571051923639
Boyd,Boyd_grain,grain,rye,B42,1,-0.8988144749168557,-0.18255060803632447
Boyd,Boyd_grain,grain,rye,B42,2,-0.6159482419990435,-0.018612710829007843
Boyd,Boyd_grain,grain,rye,B42,3,1.4532511906477596,0.2100828491164872
Boyd,Boyd_grain,grain,rye,B42,4,0.8156388538433091,-0.9038857021164111
Boyd,Boyd_grain,grain,rye,B42,5,1.071351195464932,0.5197491964183818
Boyd,Boyd_grain,grain,rye,B44,1,0.9958908223593642,-0.6566524232680796
Boyd,Boyd_grain,grain,rye,B44,2,0.8167417887098528,-0.6428478500785291
Boyd,Boyd_grain,grain,rye,B44,3,0.9038493212248624,-0.5479167383266506
Boyd,Boyd_grain,grain,rye,B44,4,0.007172243691077546,-0.009639859146277123
Boyd,Boyd_grain,grain,rye,B44,5,0.5170871877294171,0.1959143608646847
Boyd,Boyd_silage,silage,no,B44,1,-1.0785190769809656,-0.500158136272783
Boyd,Boyd_silage,silage,no,B44,2,0.17206399472473208,-0.20339996799157295
Boyd,Boyd_silage,silage,no,B44,3,0.5123931431605406,-0.49983941460328657
Boyd,Boyd_silage,silage,no,B44,4,-0.7143350740467902,0.08575558285263069
Boyd,Boyd_silage,silage,no,B44,5,-0.9816555486833487,-0.005794835140476619
Boyd,Boyd_silage,silage,rye,B44,1,-0.2755454581725394,-0.43085470449423685
Boyd,Boyd_silage,silage,rye,B44,2,0.2257619129869655,-0.48574640305335925
Boyd,Boyd_silage,silage,rye,B44,3,0.8053540388662132,-0.3404709794409505
Boyd,Boyd_silage,silage,rye,B44,4,0.5647250085600005,0.36618470234189804
Boyd,Boyd_silage,silage,rye,B44,5,0.026166029077772435,0.4323011119104291
Funcke,Funcke_grain,grain,no,F,1,-1.754163559322767,-0.0641457609883195
Funcke,Funcke_grain,grain,no,F,2,-1.9261549279027046,-0.08066565625717652
Funcke,Funcke_grain,grain,no,F,3,-1.9862820333588131,-0.26514373536186514
Funcke,Funcke_grain,grain,rye,F,1,-1.2940988287012554,0.05430152491966806
Funcke,Funcke_grain,grain,rye,F,2,-1.6797801343184453,0.004604231600712443
Funcke,Funcke_grain,grain,rye,F,3,-1.4783906985549202,-0.11648713683434667
Stout,Stout_grain,grain,no,S,1,-0.23352018928719548,0.6323583415997632
Stout,Stout_grain,grain,no,S,2,0.871959943822456,0.7372745192051324
Stout,Stout_grain,grain,no,S,3,-1.0546083233561911,0.2792453275962966
Stout,Stout_grain,grain,no,S,4,-0.37343083040059466,0.615958721198644
Stout,Stout_grain,grain,rye,S,1,0.14789995168198078,0.8478347115791284
Stout,Stout_grain,grain,rye,S,2,1.021745488941916,1.1925046892770805
Stout,Stout_grain,grain,rye,S,3,-0.4145007175358345,0.5503856589981626
Stout,Stout_grain,grain,rye,S,4,-0.43903675504021683,0.47046228462956513
=======
Boyd,Boyd_grain,grain,no,B42,1,-0.08274367863577212,0.24217747903178757
Boyd,Boyd_grain,grain,no,B42,2,1.3113129683252176,-1.1328041425195081
Boyd,Boyd_grain,grain,no,B42,3,1.0186812003015857,0.23412342453817492
